order_id,order_date,amount,product_id
1,2024-01-01,6724.64,101
2,2024-01-01,6679.95,105
3,2024-01-01,964.06,118
4,2024-01-01,1023.52,101
5,2024-01-02,1948.77,118
6,2024-01-02,3890.77,118
7,2024-01-02,,109
8,2024-01-03,3193.2,114
9,2024-01-03,1098.45,111
10,2024-01-03,7656.95,112
11,2024-01-03,6620.64,102
12,2024-01-03,892.44,113
13,2024-01-04,1891.14,119
14,2024-01-04,7002,108
15,2024-01-04,7824.06,108
16,2024-01-04,5793.02,115
17,2024-01-04,3325.38,112
18,2024-01-04,5559.35,103
19,2024-01-04,1636.94,108
20,2024-01-04,2131.61,118
21,2024-01-05,7430.86,108
22,2024-01-05,2555.12,113
23,2024-01-05,7911.04,119
24,2024-01-06,1456.27,115
25,2024-01-06,4942,118
26,2024-01-06,8099.84,114
27,2024-01-06,8975.47,108
28,2024-01-06,999,116
29,2024-01-06,1544,104
30,2024-01-06,5447.4,114
31,2024-01-06,8964.87,120
32,2024-01-06,7773.86,118
33,2024-01-06,6198.05,104
34,2024-01-06,6962.67,109
35,2024-01-06,4024.93,110
36,2024-01-06,8751.62,109
37,2024-01-06,8230.12,117
38,2024-01-06,7605.69,110
39,2024-01-07,6909.1,112
40,2024-01-07,8281.74,117
41,2024-01-07,370.4,116
42,2024-01-07,2306.18,110
43,2024-01-07,8532.16,119
44,2024-01-07,7380,116
45,2024-01-07,6938.34,118
46,2024-01-07,8531.27,116
47,2024-01-07,7876.41,117
48,2024-01-08,6845.33,118
49,2024-01-08,3710.13,110
50,2024-01-08,4054.28,112
51,2024-01-08,2380.57,104
52,2024-01-08,5376.12,101
53,2024-01-08,262.28,108
54,2024-01-09,792.12,108
55,2024-01-09,822.54,111
56,2024-01-09,2084.28,116
57,2024-01-10,7103.65,108
58,2024-01-10,1029.07,107
59,2024-01-10,3926.49,112
60,2024-01-10,6124.61,102
61,2024-01-10,732.39,104
62,2024-01-10,2387.18,104
63,2024-01-10,1432.6,115
64,2024-01-10,2397.3,115
65,2024-01-10,7309.6,115
66,2024-01-10,644.18,104
67,2024-01-11,8351.03,103
68,2024-01-11,3775.44,106
69,2024-01-11,8140.5,113
70,2024-01-12,2532.79,113
71,2024-01-12,2709.19,115
72,2024-01-12,6023.47,118
73,2024-01-13,8723.64,107
74,2024-01-13,735.43,118
75,2024-01-13,5339.76,102
76,2024-01-13,1584.41,117
77,2024-01-13,7690.81,103
78,2024-01-13,6140.87,103
79,2024-01-13,8485.05,104
80,2024-01-13,5430.77,119
81,2024-01-13,5983.88,114
82,2024-01-13,8424.42,111
83,2024-01-14,3681.92,109
84,2024-01-14,4222.58,110
85,2024-01-14,280.98,103
86,2024-01-14,8964.65,119
87,2024-01-14,4650.79,107
88,2024-01-14,7950.6,112
89,2024-01-14,2706.89,112
90,2024-01-14,6390.15,118
91,2024-01-14,267.84,117
92,2024-01-14,8398.45,110
93,2024-01-14,2526.3,105
94,2024-01-15,2678.46,109
95,2024-01-15,1990.66,111
96,2024-01-15,4646.6,109
97,2024-01-15,1011.23,102
98,2024-01-15,586.96,109
99,2024-01-16,1620.92,109
100,2024-01-16,5134.98,114
101,2024-01-16,5000.19,105
102,2024-01-16,5061.22,119
103,2024-01-16,2911.67,102
104,2024-01-17,2047.67,112
105,2024-01-17,3311.37,104
106,2024-01-17,8768.77,114
107,2024-01-18,8789.61,106
108,2024-01-18,417.12,114
109,2024-01-18,7084,111
110,2024-01-18,2546.89,108
111,2024-01-18,3565.37,104
112,2024-01-18,2156.42,116
113,2024-01-19,2884.68,112
114,2024-01-19,2160.73,108
115,2024-01-19,3087.71,113
116,2024-01-19,3289.09,109
117,2024-01-19,3113.12,118
118,2024-01-19,1770.4,109
119,2024-01-19,535.66,109
